time, A, B, S
                   6, 0001,0001,1111
                   8, 0001,0001,1111
                  10, 0001,0001,0000
                  12, 0001,0001,0000
                  14, 0001,0001,0000
                  16, 0001,0001,0000
                  18, 0001,0001,0000
                  20, 0001,0001,0000
                  22, 0001,0001,0000
                  24, 0001,0001,0000
                  26, 0001,0001,0000
                  28, 0001,0001,0000
                  30, 0001,0001,0010
                  32, 0001,0001,0010
                  34, 0001,0001,0010
                  36, 0001,0001,0010
                  38, 0001,0001,0010
                  40, 0001,0001,0010
                  42, 0001,0001,0010
                  44, 0001,0001,0010
                  46, 0001,0001,0010
                  48, 0001,0001,0010
                  50, 0001,0001,0010
                  52, 0001,0001,0010
                  54, 0001,0001,0010
                  56, 0001,0001,0010
                  58, 0001,0001,0010
                  60, 0001,0001,0010
                  62, 0001,0001,0010
                  64, 0001,0001,0010
                  66, 0001,0001,0010
                  68, 0001,0001,0010
                  70, 0001,0001,0010
                  72, 0001,0001,0010
                  74, 0001,0001,0010
                  76, 0001,0001,0010
                  78, 0001,0001,0010
                  80, 0001,0001,0010
                  82, 0001,0001,0010
                  84, 0001,0001,0010
                  86, 0001,0001,0010
                  88, 0001,0001,0010
                  90, 0001,0001,0010
                  92, 0001,0001,0010
                  94, 0001,0001,0010
                  96, 0001,0001,0010
                  98, 0001,0001,0010
                 100, 0001,0001,0010
                 102, 0001,0001,0010
                 104, 0001,0001,0010
                 106, 0001,0001,0010
                 108, 0001,0001,0010
                 110, 0001,0001,0010
                 112, 0001,0001,0010
                 114, 0001,0001,0010
                 116, 0001,0001,0010
                 118, 0001,0001,0010
                 120, 0001,0001,0010
                 122, 0001,0001,0010
                 124, 0001,0001,0010
                 126, 0001,0001,0010
                 128, 0001,0001,0010
                 130, 0001,0001,0010
                 132, 0001,0001,0010
                 134, 0001,0001,0010
                 136, 0001,0001,0010
                 138, 0001,0001,0010
                 140, 0001,0001,0010
                 142, 0001,0001,0010
                 144, 0001,0001,0010
                 146, 0001,0001,0010
                 148, 0001,0001,0010
                 150, 0001,0001,1111
                 152, 0001,0001,1111
                 154, 0001,0001,1111
                 156, 0001,0001,1111
                 158, 0001,0001,1111
                 160, 0001,0001,0010
                 162, 0001,0001,0010
                 164, 0001,0001,0010
                 166, 0001,0001,0010
                 168, 0001,0001,0010
                 170, 0001,0001,0010
                 172, 0001,0001,0010
                 174, 0001,0001,0010
                 176, 0001,0001,0010
                 178, 0001,0001,0010
                 180, 0001,0001,0010
                 182, 0001,0001,0010
                 184, 0001,0001,0010
                 186, 0001,0001,0010
                 188, 0001,0001,0010
                 190, 0001,0001,0010
                 192, 0001,0001,0010
                 194, 0001,0001,0010
                 196, 0001,0001,0010
                 198, 0001,0001,0010
                 200, 0001,0001,0010
                 202, 0001,0001,0010
                 204, 0001,0001,0010
                 206, 0001,0001,0010
                 208, 0001,0001,0010
                 210, 0001,0001,0010
                 212, 0001,0001,0010
                 214, 0001,0001,0010
                 216, 0001,0001,0010
                 218, 0001,0001,0010
                 220, 0001,0001,0010
                 222, 0001,0001,0010
                 224, 0001,0001,0010
                 226, 0001,0001,0010
                 228, 0001,0001,0010
                 230, 0001,0001,1111
                 232, 0001,0001,1111
                 234, 0001,0001,1111
                 236, 0001,0001,1111
                 238, 0001,0001,1111
                 240, 0001,0001,0001
                 242, 0001,0001,0001
                 244, 0001,0001,0001
                 246, 0001,0001,0001
                 248, 0001,0001,0001
                 250, 0001,0001,0010
                 252, 0001,0001,0010
                 254, 0001,0001,0010
                 256, 0001,0001,0010
                 258, 0001,0001,0010
                 260, 0001,0001,0010
                 262, 0001,0001,0010
                 264, 0001,0001,0010
                 266, 0001,0001,0010
                 268, 0001,0001,0010
                 270, 0001,0001,0000
                 272, 0001,0001,0000
                 274, 0001,0001,0000
                 276, 0001,0001,0000
                 278, 0001,0001,0000
                 280, 0001,0001,1101
                 282, 0001,0001,1101
                 284, 0001,0001,1101
                 286, 0001,0001,1101
                 288, 0001,0001,1101
                 290, 0001,0001,0001
                 292, 0001,0001,0001
                 294, 0001,0001,0001
                 296, 0001,0001,0001
                 298, 0001,0001,0001
                 300, 0001,0001,0001
                 302, 0001,0001,0001
                 304, 0001,0001,0001
                 306, 0001,0001,0001
                 308, 0001,0001,0001
                 310, 0001,0001,1111
                 312, 0001,0001,1111
                 314, 0001,0001,1111
                 316, 0001,0001,1111
                 318, 0001,0001,1111
                 320, 0001,0001,0001
                 322, 0001,0001,0001
                 324, 0001,0001,0001
                 326, 0001,0001,0001
                 328, 0001,0001,0001
                 330, 0001,0001,0010
                 332, 0001,0001,0010
                 334, 0001,0001,0010
                 336, 0001,0001,0010
                 338, 0001,0001,0010
                 340, 0001,0001,0010
                 342, 0001,0001,0010
                 344, 0001,0001,0010
                 346, 0001,0001,0010
                 348, 0001,0001,0010
                 350, 0001,0001,0010
                 352, 0001,0001,0010
                 354, 0001,0001,0010
                 356, 0001,0001,0010
                 358, 0001,0001,0010
                 360, 0001,0001,0010
                 362, 0001,0001,0010
                 364, 0001,0001,0010
                 366, 0001,0001,0010
                 368, 0001,0001,0010
                 370, 0001,0001,0010
                 372, 0001,0001,0010
                 374, 0001,0001,0010
                 376, 0001,0001,0010
                 378, 0001,0001,0010
                 380, 0001,0001,0010
                 382, 0001,0001,0010
                 384, 0001,0001,0010
                 386, 0001,0001,0010
                 388, 0001,0001,0010
                 390, 0001,0001,0010
                 392, 0001,0001,0010
                 394, 0001,0001,0010
                 396, 0001,0001,0010
                 398, 0001,0001,0010
                 400, 0001,0001,0010
                 402, 0001,0001,0010
                 404, 0001,0001,0010
                 406, 0001,0001,0010
                 408, 0001,0001,0010
                 410, 0001,0001,0010
                 412, 0001,0001,0010
                 414, 0001,0001,0010
                 416, 0001,0001,0010
                 418, 0001,0001,0010
                 420, 0001,0001,0010
                 422, 0001,0001,0010
                 424, 0001,0001,0010
                 426, 0001,0001,0010
                 428, 0001,0001,0010
                 430, 0001,0001,0010
                 432, 0001,0001,0010
