time,A,B,S
                   6,  1, 1,15
                   8,  1, 1,15
                  10,  1, 1, 0
                  12,  1, 1, 0
                  14,  1, 1, 0
                  16,  1, 1, 0
                  18,  1, 1, 0
                  20,  1, 1, 0
                  22,  1, 1, 0
                  24,  1, 1, 0
                  26,  1, 1, 0
                  28,  1, 1, 0
                  30,  1, 1, 2
                  32,  1, 1, 2
                  34,  1, 1, 2
                  36,  1, 1, 2
                  38,  1, 1, 2
                  40,  1, 1, 2
                  42,  1, 1, 2
                  44,  1, 1, 2
                  46,  1, 1, 2
                  48,  1, 1, 2
                  50,  1, 1, 2
                  52,  1, 1, 2
                  54,  1, 1, 2
                  56,  1, 1, 2
                  58,  1, 1, 2
                  60,  1, 1, 2
                  62,  1, 1, 2
                  64,  1, 1, 2
                  66,  1, 1, 2
                  68,  1, 1, 2
                  70,  1, 1, 2
                  72,  1, 1, 2
                  74,  1, 1, 2
                  76,  1, 1, 2
                  78,  1, 1, 2
                  80,  1, 1, 2
                  82,  1, 1, 2
                  84,  1, 1, 2
                  86,  1, 1, 2
                  88,  1, 1, 2
                  90,  1, 1, 2
                  92,  1, 1, 2
                  94,  1, 1, 2
                  96,  1, 1, 2
                  98,  1, 1, 2
                 100,  1, 1, 2
                 102,  1, 1, 2
                 104,  1, 1, 2
                 106,  1, 1, 2
                 108,  1, 1, 2
                 110,  1, 1, 2
                 112,  1, 1, 2
                 114,  1, 1, 2
                 116,  1, 1, 2
                 118,  1, 1, 2
                 120,  1, 1, 2
                 122,  1, 1, 2
                 124,  1, 1, 2
                 126,  1, 1, 2
                 128,  1, 1, 2
                 130,  1, 1, 2
                 132,  1, 1, 2
                 134,  1, 1, 2
                 136,  1, 1, 2
                 138,  1, 1, 2
                 140,  1, 1, 2
                 142,  1, 1, 2
                 144,  1, 1, 2
                 146,  1, 1, 2
                 148,  1, 1, 2
                 150,  1, 1,15
                 152,  1, 1,15
                 154,  1, 1,15
                 156,  1, 1,15
                 158,  1, 1,15
                 160,  1, 1, 2
                 162,  1, 1, 2
                 164,  1, 1, 2
                 166,  1, 1, 2
                 168,  1, 1, 2
                 170,  1, 1, 2
                 172,  1, 1, 2
                 174,  1, 1, 2
                 176,  1, 1, 2
                 178,  1, 1, 2
                 180,  1, 1, 2
                 182,  1, 1, 2
                 184,  1, 1, 2
                 186,  1, 1, 2
